"site","ranch","treatment","landuse","year","pair_id","Orycteropus_afer","Proteles_cristata","Syncerus_caffer","Civettictis_civetta","Oryx_beisa","Canis_mesomelas","Diceros_bicornis","Sylvicapra_grimmia","Potamochoerus_larvatus","Tragelaphus_sp","Caracal_caracal","Acinonyx_jubatus","Genetta_genetta","Phacochoerus_africanus","Equus_quagga","Hystrix_cristata","Helogale_parvula","Taurotragus_sp","Loxodonta_sp","Litocranius_walleri","Giraffa_camelopardalis","Nanger_granti","Tragelaphus_strepsiceros","Equus_grevyi","Madoqua_guentheri","Mellivora_capensis","Hippopotamus_amphibius","Aepyceros_melampus","Oreotragus_oreotragus","Alcelaphus_buselaphus","Panthera_pardus","Panthera_leo","Papio_anubis","Erythrocebus_patas","Procavia_capensis","Lepus_saxatilis","Leptailurus_serval","Galerella_sanguinea","Crocuta_crocuta","Raphicerus_campestris","Xerus_erythropus","Hyaena_hyaena","Eudorcas_thomsonii","Chlorocebus_pygerythrus","Kobus_ellipsiprymnus","Ichneumia_albicauda","Ceratotherium_simum","Felis_sylvestris","Lycaon_pictus","Ictonyx_striatus","Bos_taurus","Camelus_dromedarius","Capra_hircus","Equus_asinus","Equus_caballus","Ovis_aries","longitude","latitude","annual_rainfall","frac_veg","erosion","root_dep_res_50cm","soil_org_carb","pH","sand","soil_pc1","soil_pc2"
"KEN-006-D0040","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,4.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.797,14.39,0,0,0,0,4.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89081,0.35839,519.2819824,0.387889678,0.584,0.544,12.07060846,6.096102667,22.08139475,0.234683598,0.889112786
"KEN-006-D0041","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5.008,5.008,0,0,10.016,0,0,0,5.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.87704,0.35404,530.87854,0.489891824,0.198,0.456,18.12914909,6.456250524,24.47304458,-0.476220755,-0.161011684
"KEN-006-D0042","Mpala","Conservancy","Conserved",2011,NA,0,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.799,0,0,5.225,47.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.87816,0.36769,520.6559448,0.467394107,0.64,0.642,13.6127551,6.350380333,25.31228558,0.935402036,1.702700351
"KEN-006-D0043","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,10.011,0,0,0,0,0,0,45.049,0,0,0,50.055,0,0,65.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89063,0.37179,512.7935181,0.438650295,0.28,0.37,14.63845096,6.063777333,19.82794792,-0.993706196,-0.723296287
"KEN-006-D0044","Mpala","Conservancy","Conserved",2011,NA,5.536,0,27.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.608,0,0,5.536,0,0,5.536,5.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.90419,0.35335,518.0064087,0.376144826,0.504,0.4,10.7472569,6.248421,22.94411075,0.345312093,-0.30118162
"KEN-006-D0045","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.008,0,15.023,0,0,15.023,0,0,0,15.023,0,0,0,0,0,0,0,0,0,0,5.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91795,0.3718,500.8400269,0.413878712,0.686,0.494,11.32600542,6.413319,24.53364042,1.194224723,0.669918594
"KEN-006-D0046","Mpala","Conservancy","Conserved",2011,NA,0,0,10.607,0,0,0,0,0,0,0,0,0,0,5.303,15.91,0,0,0,0,0,15.91,0,0,15.91,106.066,0,0,116.673,0,0,0,5.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9042,0.3808,504.9032288,0.349130086,0.492,0.376,13.35669194,6.036153619,22.9949975,-0.189111102,-0.395176443
"KEN-006-D0047","Mpala","Conservancy","Conserved",2011,NA,0,0,21.237,0,0,0,0,0,0,0,0,0,5.309,0,0,0,0,0,74.331,0,10.619,0,0,5.309,148.661,0,0,419.438,0,0,15.928,0,0,0,0,5.309,0,0,10.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91936,0.38482,490.3565063,0.385366191,0.456,0.454,14.26225082,7.370049,29.82636558,2.241028328,0.086256781
"KEN-006-D0048","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.015,0,33.044,0,0,0,0,0,0,0,0,0,0,0,0,0,11.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9265,0.37271,495.8478699,0.482160044,0.414,0.222,19.50204634,6.429532,21.05996475,-0.327655784,-1.359232405
"KEN-006-D0049","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,14.983,0,0,0,0,9.989,0,54.939,0,0,49.945,59.934,0,0,889.018,0,0,0,4.994,9.989,0,0,39.956,0,0,14.983,0,0,9.989,0,0,0,19.978,0,0,0,0,0,0,0,0,0,0,36.91796,0.35811,507.8876648,0.46813343,0.51,0.428,14.04064184,6.435953,31.33352,1.000819355,-0.029504565
"KEN-006-D0051","Mpala","Conservancy","Conserved",2011,NA,0,0,24.914,0,0,0,0,0,0,0,0,0,0,9.965,0,0,0,4.983,4.983,0,0,0,0,0,29.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.83655,0.39877,523.5769043,0.563409169,0.478,0.452,22.95238057,6.385638667,20.12401675,-0.411709404,0.482727271
"KEN-006-D0052","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,10.46,15.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82756,0.41326,517.164917,0.421385671,0.614,0.31,12.5226911,6.464884333,23.9890395,0.908134597,-0.685399706
"KEN-006-D0053","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.003,0,0,0,10.007,0,5.003,0,0,15.01,30.02,0,0,50.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.003,0,0,0,0,0,0,0,0,0,0,0,36.84115,0.42637,505.8366089,0.434387554,0.438,0.274,12.2758301,6.386564,28.25664667,0.585619954,-1.267856877
