site,landuse,pair_id,acalypha_unknown,achyranthes_aspera,aerva_lanata,amaranthus_graecizans,amaranthus_unknown,anagallis_arvensis,asparagus_unknown,aspidoglossum_angustissimum,aspilia_unknown,balanites_unknown,barleria_unknown,bidens_pilosa,cassia_unknown,chenopodium_unknown,commelina_unknown,craterostigma_unknown,crotalaria_deflersii,croton_unknown,cucumis_unknown,cyathula_orthacantha,cyphostemma_serpens,datura_stramonium,emilia_unknown,galinsoga_parviflora,helichrysum_glumaceum,hirpicium_unknown,hypoestes_verticillaris,ipomoea_sinensis,justicia_unknown,leucas_unknown,lilium_unknown,lippia_unknown,lippia_javanica,melhania_velutina,misopates_orontium,mollugo_unknown,monechma_unknown,monsonia_angustifolia,ocimum_unknown,osteospermum_unknown,osteospermum_vaillantii,oxalis_corniculata,pavonia_unknown,polygala_unknown,polygonum_senegalense,psilotrichum_ellioti,pupalia_lappacea,rhus_natalensis,rhynchosia_unknown,schkuhria_unknown,senecio_stuhlmannii,solanum_incanum,solanum_indicum,sphaeranthus_suaveolens,tagetes_minuta,tinnea_aethiopica,tribulus_terrestris,aristida_congesta,aristida_kenyensis,bothriochloa_insculpta,brachiaria_eruciformis,brachiaria_lachnantha,brachiaria_leersioides,cenchrus_ciliaris,chloris_roxburghiana,chloris_unknown,chloris_virgata,cymbopogon_pospischilii,cynodon_dactylon,cynodon_plectostachyus,dactyloctenium_unknown,dinebra_unknown,digitaria_unknown,enneapogon_schimperanus,enneapogon_macrostachyus,eragrostis_papposa,eragrostis_racemosa,eragrostis_rigidior,eragrostis_superba,eragrostis_tenuiflora,harpachne_schimperi,heteropogon_unknown,hordeum_vulgare,lintonia_nutans,microchloa_kunthii,pennisetum_purpureum,oxygonum_sinuatum,panicum_maximum,pennisetum_mezianum,pennisetum_stramineum,pentanisia_ouranogyne,rhynchelytrum_repens,setaria_incrassata,setaria_sphacilata,sporobolus_africanus,sporobolus_festivus,sporobolus_kenyensis,sporobolus_pyramidalis,themeda_triandra,tragus_berteronianus,cyperus_unknown,schkuhria_pinnata,abutilon_mauritianum,acacia_brevispica,cadaba_farinosa,capparis_tomentosa,carissa_edulis,clausena_anisata,combretum_unknown,dyschoriste_radicans,grewia_unknown,gutenbergia_cordifolia,hibiscus_unknown,indigofera_unknown,jasminium_unknown,lycium_europaeum,phyllanthus_unknown,plectranthus_unknown,pollichia_campestris,psiadia_punctulata,pyrostria_phyllanthoidea,rhamnus_staddo,schoenoplectus_unknown,scutia_myrtina,waltheria_unknown,aloe_vera,euphorbia_unknown,kalanchoe_unknown,kleinia_unknown,portulaca_unknown,sansevieria_unknown,acacia_drepanolobium,acacia_etbaica,acacia_gerradii,acacia_mellifera,acacia_nilotica,acacia_seyal,acacia_tortilis,acacia_xanthophloea,boscia_unknown,commiphora_unknown,cordia_monoica,eucalyptus_unknown,euclea_unknown,ficus_unknown,maytenus_unknown,sesbania_sesban,teclea_unknown,longitude,latitude,annual_rainfall,frac_veg,erosion,root_dep_res_50cm,soil_org_carb,pH,sand,soil_pc1,soil_pc2
OL PEJETA 7,Conserved,28,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,82,0,0,0,0,1,0,0,0,44,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,36.90778,0.07872,688.37622,0.54513,0.484,0.382,21.75586,6.12424,20.15844,-0.76151,-0.041
N.TETU 1,Agriculture,27,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,36.90345,0.08353,685.96881,0.65713,0.45,0.57,15.82293,5.91958,10.73491,-1.34391,1.05668
OL PEJETA 6,Conserved,27,0,0,2,0,0,0,3,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,25,76,23,0,0,0,2,0,0,1,51,0,21,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,23,2,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,0,0,36.90225,0.08189,685.96881,0.57064,0.364,0.422,20.15773,6.3956,19.1991,-0.59977,-0.01262
MARURA 2,Agriculture,26,0,0,0,1,0,0,0,3,0,0,0,29,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92547,0.00084,724.99725,0.51439,0.582,0.544,18.26482,6.22996,16.13704,-0.31365,1.15176
OL PEJETA 4,Conserved,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,105,0,0,0,2,2,0,0,0,49,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,3,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,36.93835,0.00112,725.96637,0.62464,0.408,0.53,22.24343,6.11871,18.06553,-1.08165,0.89529
MARURA 1,Agriculture,25,0,0,0,0,0,0,0,1,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.93337,0.00173,725.51062,0.60365,0.528,0.186,12.83616,5.90912,11.7615,-1.04573,-1.60576
OL PEJETA 3,Conserved,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,89,0,0,0,6,4,0,0,0,48,0,2,0,0,0,0,1,0,0,0,16,1,0,0,0,1,0,0,2,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,36.93688,9.00E-04,725.96637,0.6354,0.236,0.426,26.93627,6.05401,14.46331,-2.1981,0.07746
IL MOTIOK 4,Agriculture,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88851,0.48415,462.83395,0.50809,0.734,0.506,22.55967,6.27564,12.75039,-0.32587,1.31996
MPALA 8,Conserved,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,20,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,36.88792,0.48153,462.83395,0.23563,0.602,0.418,13.03681,5.98838,26.66188,0.29689,0.04523
MPALA 7,Conserved,23,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,36.8898,0.4786,463.21106,0.21513,0.506,0.506,13.25024,6.50391,25.0946,0.77921,0.52015
IL MOTIOK 3,Pastoral,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,2,12,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,36.89224,0.47966,463.21106,0.30737,0.598,0.496,13.63037,6.55309,20.14514,0.76241,0.65078
SESSIONS 3,Agriculture,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,84,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88395,0.05205,701.2533,0.45315,0.632,0.514,13.46472,6.20293,25.78151,0.67139,0.7875
OL PEJETA 5,Conserved,22,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,144,0,0,0,1,24,0,0,0,109,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,4,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8838,0.05149,701.2533,0.4644,0.552,0.502,13.6874,6.09101,33.18794,0.73158,0.52896
PYRAMID 1,Conserved,21,0,2,0,0,0,0,0,0,0,1,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,17,13,26,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,15,0,0,9,0,0,0,0,9,0,1,0,0,54,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.08047,0.33133,504.73639,0.51688,0.44,0.392,16.18226,6.22069,14.90136,-0.71533,-0.21294
ILPOLEI 1,Pastoral,21,0,0,0,0,0,0,0,0,0,1,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,13,0,0,0,0,1,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,37.0715,0.37622,448.90045,0.16762,0.802,0.394,6.03537,6.27179,35.85584,2.2845,-0.10183
PYRAMID 2,Conserved,20,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,9,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,1,0,0,48,0,0,0,0,23,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.07085,0.35047,476.7182,0.35963,0.692,0.406,15.74657,6.32782,18.9225,0.41583,0.26398
ILPOLEI 2,Pastoral,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,35,0,1,0,0,2,0,0,0,0,0,0,0,0,0,36,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,37.09278,0.36602,473.50259,0.28112,0.92,0.532,6.29126,6.36317,33.95766,2.66003,1.0797
SEGERA 5,Conserved,19,0,0,0,0,2,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,48,124,2,0,0,0,0,0,0,4,196,0,0,0,0,0,0,0,0,0,0,3,1,0,6,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.85928,0.15336,657.73395,0.52666,0.36,0.396,13.89328,6.27458,29.3512,0.21465,-0.49661
JERUSALEM 2,Pastoral,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,16,0,0,0,0,15,0,0,0,3,97,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.85912,0.15229,657.73395,0.28864,0.466,0.328,11.42169,6.99327,34.48989,2.09218,-0.91236
SEGERA 4,Conserved,18,0,0,1,0,0,0,5,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,9,140,0,0,0,18,0,0,0,1,19,0,0,0,0,2,0,0,3,0,0,0,1,0,4,2,1,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,36.87494,0.1538,656.30627,0.57641,0.294,0.43,20.73727,6.29855,19.87782,-0.93059,-0.05776
JERUSALEM 1,Pastoral,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,45,0,0,0,1,5,0,0,0,74,89,0,0,0,1,0,0,0,0,48,0,5,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36.8749,0.15284,656.30627,0.41964,0.594,0.382,10.74485,6.2322,31.7108,1.11009,-0.33409
MPALA 3,Conserved,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,1,0,2,0,0,5,3,1,0,0,0,3,3,1,0,0,68,0,0,0,0,4,0,4,0,1,6,0,0,0,0,0,0,0,0,0,36,19,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89874,0.42489,482.60632,0.21037,0.594,0.566,8.21595,6.50079,36.14193,2.04036,0.82917
IL MOTIOK 2a,Pastoral,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,7,1,0,0,22,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.9165,0.4422,468.72931,0.00107,0.454,0.57,7.82744,6.73753,42.9706,2.50065,0.56597
MPALA 2,Conserved,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,8,0,0,0,30,11,0,1,0,0,1,13,0,0,0,0,11,2,0,0,0,42,0,0,0,0,2,0,6,5,0,21,0,0,0,0,0,0,0,0,0,13,11,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89797,0.43059,480.03909,0.37988,0.408,0.324,15.71919,6.34283,22.27768,-0.13549,-0.80484
IL MOTIOK 1a,Pastoral,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,14,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91154,0.44515,470.82285,0.22111,0.83,0.53,8.09585,6.36406,29.17636,2.00633,1.01268
OLJOGI 4,Conserved,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,13,0,0,0,0,0,0,0,10,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,13,45,2,0,5,0,0,4,0,0,0,7,0,0,0,0,1,0,0,1,5,18,0,0,0,0,0,0,0,0,18,1,4,0,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92617,0.32615,532.90753,0.50488,0.592,0.452,19.46076,6.4788,20.67426,0.28946,0.54277
LEKIJI 3,Pastoral,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,1,0,0,0,17,0,0,0,0,7,0,0,0,7,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92455,0.32655,527.88409,0.31713,0.596,0.54,8.49224,6.2327,32.63112,1.37047,0.68246
OLJOGI 3,Conserved,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,1,0,0,9,10,1,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,18,12,0,1,0,0,36,2,5,0,2,0,3,1,2,0,4,20,0,0,0,0,17,0,1,2,1,10,0,0,0,0,0,0,0,6,0,8,9,0,0,2,0,0,0,0,0,0,1,1,4,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,36.92742,0.3544,510.36313,0.41014,0.648,0.512,11.6644,6.05372,25.17851,0.54809,0.73747
LEKIJI 2,Pastoral,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92705,0.35128,510.36313,0.2746,0.992,0.572,6.62976,6.63899,38.71459,3.58679,1.4619
MPALA 1,Conserved,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,7,0,10,0,0,10,20,2,0,0,0,24,1,2,0,0,11,0,0,0,0,5,0,0,1,0,44,0,0,0,0,0,0,0,3,0,14,33,0,0,7,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.91205,0.34058,521.44757,0.30788,0.402,0.502,9.85547,6.53654,31.68614,1.17715,0.1517
LEKIJI 1,Pastoral,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,1,0,0,34,0,1,0,0,0,3,1,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9126,0.34031,520.45984,0.67836,0.468,0.282,28.02603,5.89973,10.43787,-2.19783,-0.47387
MPALA 4,Conserved,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,101,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,63,0,11,0,0,0,11,0,0,0,0,0,1,9,0,0,4,0,0,0,0,0,0,6,0,10,3,0,0,28,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,28,0,0,0,0,0,6,1,0,6,0,0,1,0,0,0,36.90624,0.33118,531.57001,0.37013,0.83,0.404,13.77848,6.30169,20.94289,0.99112,0.39524
LEKIJI 4,Pastoral,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,10,0,0,27,0,0,0,0,1,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,36.90754,0.33049,529.22913,0.48786,0.502,0.456,11.58261,6.43638,26.72853,0.84837,0.09286
SEGERA 3,Conserved,11,0,0,6,0,0,0,0,0,16,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,26,68,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,84,9,0,0,0,89,8,0,0,0,25,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,2,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7529,0.36852,579.18359,-0.23252,0.418,0.416,15.98227,6.40751,14.23487,-0.49855,-0.08396
